COD_USU,SEX_USU,FEC_NAC_USU,EDAD_USU,GRU_ET,PAI_USU,TIE_DIS,LEN_MAT,AUT_IDE_ET,NOM_CEN,FEC_ING,PER_ING,TIP_SEG_SAL,EST_ACT,FEC_EGR,MOT_EGR
238,1,2014-01-11,11,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-10-17,1,1,1,NO APLICA,11
300,2,2018-12-16,7,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-10-11,1,1,1,NO APLICA,11
594,2,2017-12-12,8,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-11-15,1,2,1,NO APLICA,11
597,2,2017-08-25,8,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-11-08,1,1,1,NO APLICA,11
599,2,2016-01-04,9,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-11-16,1,1,1,NO APLICA,11
600,1,2017-04-04,8,3,PERÚ,3,10,7,CEDIF CAJAMARCA,2024-11-12,1,1,1,NO APLICA,11
605,1,2021-08-08,4,2,PERÚ,3,10,7,CEDIF CAJAMARCA,2025-01-09,1,1,1,NO APLICA,11
121200442,2,2016-05-06,9,3,PERÚ,3,2,2,CEDIF JULI,2023-06-05,1,1,1,NO APLICA,11
121200464,2,2014-11-11,11,3,PERÚ,3,2,2,CEDIF JULI,2023-11-06,1,1,1,NO APLICA,11
121200471,2,2016-11-10,9,3,PERÚ,3,2,2,CEDIF JULI,2024-01-08,1,1,1,NO APLICA,11
121200475,2,2015-07-13,10,3,PERÚ,3,2,2,CEDIF JULI,2024-01-08,4,1,1,NO APLICA,11
121200489,1,2021-02-27,4,2,PERÚ,3,2,2,CEDIF JULI,2024-01-08,4,1,1,NO APLICA,11
121200517,2,2021-05-02,4,2,PERÚ,3,2,2,CEDIF JULI,2024-03-04,1,1,1,NO APLICA,11
121200522,1,2021-03-17,4,2,PERÚ,3,2,2,CEDIF JULI,2024-03-04,1,1,1,NO APLICA,11
121200534,1,2015-08-07,10,3,PERÚ,3,2,2,CEDIF JULI,2024-03-04,1,1,1,NO APLICA,11
121200559,2,2017-08-16,8,3,PERÚ,3,2,2,CEDIF JULI,2024-03-04,1,1,1,NO APLICA,11
121200578,1,2020-08-25,5,2,PERÚ,3,2,2,CEDIF JULI,2024-05-04,1,1,1,NO APLICA,11
121200581,1,2009-09-02,16,4,PERÚ,3,2,2,CEDIF JULI,2024-06-03,2,1,1,NO APLICA,11
121200584,1,2020-04-16,5,2,PERÚ,3,2,2,CEDIF JULI,2024-07-01,4,1,1,NO APLICA,11
121200586,2,2019-12-10,6,3,PERÚ,3,2,2,CEDIF JULI,2024-10-02,4,1,1,NO APLICA,11
