COD_USU;SEX_USU;FEC_NAC_USU;EDAD_USU;GRU_ET;PAI_USU;TIE_DIS;LEN_MAT;AUT_IDE_ET;NOM_CEN;FEC_ING;PER_ING;TIP_SEG_SAL;EST_ACT;FEC_EGR;MOT_EGR
CDFSJT00057;1;2015-09-27;9;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-01-06;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00058;2;2021-02-16;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-08-28;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00059;2;2020-06-19;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2022-03-29;1;ESSALUD;1;NO APLICA;NO APLICA
CDFSJT00060;2;2013-10-30;11;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-01-23;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00061;1;2022-11-19;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-01-19;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00061;2;2018-05-13;6;3;COLOMBIA;3;10;7;CEDIF SAN JUDAS TADEO;2023-03-15;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00061;2;2014-12-15;10;3;VENEZUELA;3;10;7;CEDIF SAN JUDAS TADEO;2024-01-19;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00062;1;2022-07-22;2;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-10-16;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00063;1;2011-04-12;13;4;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-08-28;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00064;1;2013-09-30;11;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2024-02-13;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00065;2;2021-03-16;3;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-02-27;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00066;2;2020-09-27;4;2;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-03-28;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00067;2;2019-01-01;6;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-01-16;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00067;1;2016-10-10;8;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-01-16;1;SIS;1;NO APLICA;NO APLICA
CDFSJT00068;2;2013-09-24;11;3;PERÚ;3;10;7;CEDIF SAN JUDAS TADEO;2023-01-30;1;SIS;1;NO APLICA;NO APLICA
